idiom,meaning,model,response
Window Dressing, A misleading disguise intended to present a favorable impression,llama3.1:8b,A superficial attempt to make something appear more attractive than it actually is.
Window Shop, To look at merchandise in a store without intending to buy it,llama3.1:8b,Browse stores without intending to buy.
Witch Hunt, An organized attempt to persecute an unpopular group of people and blame them for a problem.,llama3.1:8b,"A search for someone who is believed to have done something wrong, often without enough evidence."
With Bells On," Eagerly, willingly, and on time.",llama3.1:8b,In full swing.
Work One�s Fingers to the Bone, Work very hard over an extended period,llama3.1:8b,Toil exhaustively.
Worn to a Frazzle," Exhausted, completely worn out",llama3.1:8b,Exhausted.
Wouldn�t Be Caught Dead, Would absolutely not allow myself to do this,llama3.1:8b,To be caught dead. (meaning to do something embarrassing or shameful)
Writing (Handwriting) on the Wall, Hints of coming disaster,llama3.1:8b,Omen of impending doom or disaster.
"Year In, Year Out", Annually without change,llama3.1:8b,"""Time after time"""
"You Can Lead a Horse to Water, but You Can�t Make It Drink", It�s very hard to force someone to do something against his or her will.,llama3.1:8b,"You can advise someone, but you cannot force them to take action."
You Can Say That Again!, I agree totally!,llama3.1:8b,Strongly agree with that statement.
You Can Take It to the Bank, I absolutely guarantee this,llama3.1:8b,"This idiom translates to:

""It is absolutely certain."""
You Can�t Judge a Book by Its Cover, You can�t know people (or things) well by their external appearances.,llama3.1:8b,Don't judge someone or something based on appearance.
You Can�t Make an Omelet (Omelette), Without Breaking,llama3.1:8b,Breaks Eggs.
You Can�t Make Fish of One and Fowl of the Other, People must be treated equally.,llama3.1:8b,You can't make a silk purse out of a sow's ear.
You Know the Drill, You are already familiar with the procedure.,llama3.1:8b,A familiar routine.
"You Snooze, You Lose"," If you delay or are not alert, you will miss opportunities",llama3.1:8b,Missing out on an opportunity because of procrastination.
Young at Heart," Having a youthful outlook, regardless of age",llama3.1:8b,To have a youthful spirit.
Your Guess Is as Good as Mine, I don�t know; I have no idea,llama3.1:8b,My guess is just as likely to be correct.
Your Mileage May Vary," You may get different results. This does not necessarily refer to a car, although it may.",llama3.1:8b,Results may differ.
Your Number Is Up, You are going to die (or suffer some bad misfortune or setback),llama3.1:8b,"""Your time is up."""
You�re Driving Me Nuts, To make someone giddy or crazy,llama3.1:8b,"""Driving me crazy"""
Yours Truly, Me,llama3.1:8b,Sincerely yours.
Zero In On, Focus closely on something; take aim at something,llama3.1:8b,To focus all one's attention on something.
Zig When One Should Be Zagging, To make an error; to choose an incorrect course,llama3.1:8b,To go against the crowd or conventional wisdom.
Zip One�s Lip, Be quiet,llama3.1:8b,Keep quiet.
